Id|País|1970|1971|1972|1973|1974|1975|1976|1977|1978|1979|1980|1981|1982|1983|1984|1985|1986|1987|1988|1989|1990|1991|1992|1993|1994|1995|1996|1997|1998|1999|2000|2001|2002|2003|2004|2005|2006|2007|2008|2009|2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|TIPO
85|Montenegro|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9|9|14|VINHOS DE MESA
86|Namibia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|340|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
87|Nicaragua|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|24|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
88|Nigéria|0|0|0|0|0|0|0|0|259|0|0|0|0|0|0|0|0|0|0|0|0|0|30444|450|6666|6905|0|0|0|108|396|0|0|0|0|2025|0|0|7560|41|0|54|6449|1350|0|0|0|0|5175|28437|12094|68247|VINHOS DE MESA
89|Noruega|0|0|0|0|0|111|0|0|0|0|0|0|0|163|0|0|0|0|0|0|268|447|0|0|0|0|15700|0|0|0|0|0|0|0|0|22361|0|10044|0|0|0|10268|5104|2375|7179|1058|0|0|1295|628|1859|1878|VINHOS DE MESA
90|Nova Caledônia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7227|VINHOS DE MESA
91|Nova Zelândia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|11929|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2587|2364|1004|2800|809|504|1678|969|500|95|657|VINHOS DE MESA
92|Países Baixos|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|17284|0|0|0|900|0|900|19886|1073|0|10071|0|0|315|0|0|0|0|17688|17688|451|181046|340412|171654|87368|125414|134879|57792|165289|44987|42953|0|9451|44882|248|3791|VINHOS DE MESA
93|Panamá|0|0|0|0|0|0|0|450|0|0|0|0|0|0|0|0|0|0|1600|0|0|0|0|0|47|0|0|8378|0|0|0|0|435|0|360|1125|13|810|1161|24|0|0|39|0|0|0|0|0|1183|7918|10821|29520|VINHOS DE MESA
94|Paraguai|89846|237805|291625|332433|243294|371050|545762|524621|384269|536369|493790|433535|465539|575802|646792|1192784|2265984|862410|945007|1707711|815447|1703732|2453167|13472058|8009291|7740082|5803671|5323718|5227268|4753743|4997801|2437964|2013803|1121672|2108658|1967909|1947106|1285459|2191901|486927|510989|240168|354824|481564|521847|495428|985739|2393468|3234168|2419537|3299013|6522527|VINHOS DE MESA
95|Peru|0|0|0|0|0|0|0|0|0|0|0|0|0|0|570|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2625|5050|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5193|9755|0|9720|VINHOS DE MESA
96|Polônia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9909|0|0|20290|6982|20464|11732|21663|19249|30181|11654|11457|0|720|5|74|4|VINHOS DE MESA
97|Porto Rico|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9990|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|VINHOS DE MESA
98|Portugal|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2100|16080|17741|17732|109074|49090|141000|4577|95|47172|23810|71544|47736|0|0|0|18328|7958|6358|VINHOS DE MESA
99|Quênia|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|455|0|0|0|0|0|0|212|7661|10600|10600|0|0|0|0|94|6|0|0|0|0|6771|0|0|0|VINHOS DE MESA
100|Reino Unido|0|0|198|0|0|0|0|0|0|622|0|270|9936|0|0|261|0|12800|0|45225|22020|0|0|0|176929|419076|381488|634977|302771|77310|0|0|0|0|0|6102|38281|84613|100097|30092|123624|122629|82937|59161|305807|68382|117044|60711|67708|34295|22913|25316|VINHOS DE MESA
